dataset_id,dataset,target,rank,start,end,length,value,range,flank_delta,score,label_type
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,7,8655,8670,15,1.0,0.0,0.8823746312684366,579.2530717171495,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,8,14335,14347,12,1.0,0.0,0.7555309734513275,443.6215130885808,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,9,24176,24185,9,1.0,0.0,0.8528761061946903,433.68750000000205,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,10,8417,8440,23,1.0,0.0,0.5070058997050148,412.14177153468876,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,11,25934,25944,10,1.0,0.0,0.5730088495575221,307.1362177438553,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,12,14958,14967,9,1.0,0.0,0.5132743362831859,261.00000000000125,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,13,23908,23924,16,0.9988938053097345,0.01179941002949847,0.5294985250737463,179.50000000000082,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,14,6752,6760,8,1.0,0.0,0.33222713864306785,159.2758024622706,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,15,13952,13961,9,1.0,0.0,0.2636430678466076,134.0625000000006,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,16,25621,25635,14,0.999157184997893,0.005899705014749346,0.17209228824273082,109.14280966598483,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,17,22092,22101,9,1.0,0.0,0.20833333333333337,105.93750000000051,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,18,8642,8651,9,1.0,0.0,0.14269911504424782,72.56250000000036,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,19,15956,15965,9,-0.950835791543756,0.02359882005899694,0.4158062930186822,52.85937500000023,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,20,859,871,12,-1.0,0.0,0.08517699115044253,50.01296706855159,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,21,4973,4981,8,-0.9992625368731564,0.005899705014749235,0.05530973451327437,26.51650429449567,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,22,21283,21291,8,-0.9852507374631269,0.005899705014749346,0.04240412979351038,20.329319959112983,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,23,6094,6102,8,-0.958702064896755,0.01179941002949847,0.07042772861356927,16.88217440082889,weak_native_flatline_candidate
beijing_air,UCI Beijing Multi-Site Air,Aotizhongxin PM2.5,24,19383,19399,16,-0.997787610619469,0.01179941002949847,0.046828908554572224,15.875000000000059,weak_native_flatline_candidate
nab,NAB Machine Temperature,value,1,19312,19773,461,-0.9999995636517457,0.0002011565452643138,0.4479780424020011,9618.496478382976,weak_native_flatline_candidate
nab,NAB Machine Temperature,value,2,3895,4000,105,-0.9999989557159522,0.0001096498250169331,0.5399895597930876,5533.246433331965,weak_native_flatline_candidate
nab,NAB Machine Temperature,value,3,18015,18043,28,-1.0,0.0,0.46122778030070477,2440.588008860001,weak_native_flatline_candidate
nab,NAB Machine Temperature,value,4,16970,16980,10,-1.0,0.0,0.053816755911229586,170.1835249608159,weak_native_flatline_candidate
nab,NAB Machine Temperature,value,5,6831,6872,41,1.0,0.0,0.02279105525239289,145.93395828326814,weak_native_flatline_candidate
nab,NAB Machine Temperature,value,6,12477,12488,11,1.0,0.0,0.021579212329527087,71.57015056845243,weak_native_flatline_candidate
nab,NAB Machine Temperature,value,7,2167,2175,8,-1.0,0.0,0.011945590314107801,33.78723166552787,weak_native_flatline_candidate
