status,dataset_id,epsilon_true,epsilon_candidate,relative_validation_nll
expected_not_measured,household_power,1.0,0.75,0.1746
expected_not_measured,household_power,1.0,1.0,0.12
expected_not_measured,household_power,1.0,1.5,0.2413
expected_not_measured,household_power,1.0,2.0,0.4874
expected_not_measured,household_power,1.0,3.0,1.082
expected_not_measured,household_power,1.0,4.0,1.6894
expected_not_measured,household_power,1.0,6.0,2.8169
expected_not_measured,household_power,2.0,0.25,2.6385
expected_not_measured,household_power,2.0,0.5,1.4313
expected_not_measured,household_power,2.0,0.75,0.8252
expected_not_measured,household_power,2.0,1.0,0.4874
expected_not_measured,household_power,2.0,1.5,0.1865
expected_not_measured,household_power,2.0,2.0,0.12
expected_not_measured,household_power,2.0,3.0,0.2604
expected_not_measured,household_power,2.0,4.0,0.5381
expected_not_measured,household_power,2.0,6.0,1.1935
expected_not_measured,household_power,4.0,0.25,5.1089
expected_not_measured,household_power,4.0,0.5,3.3304
expected_not_measured,household_power,4.0,0.75,2.3293
expected_not_measured,household_power,4.0,1.0,1.6894
expected_not_measured,household_power,4.0,1.5,0.938
expected_not_measured,household_power,4.0,2.0,0.5381
expected_not_measured,household_power,4.0,3.0,0.1939
expected_not_measured,household_power,4.0,4.0,0.12
expected_not_measured,household_power,4.0,6.0,0.2717
expected_not_measured,beijing_air,0.5,0.25,0.2952
expected_not_measured,beijing_air,0.5,0.5,0.1
expected_not_measured,beijing_air,0.5,0.75,0.1933
expected_not_measured,beijing_air,0.5,1.0,0.3905
expected_not_measured,beijing_air,0.5,1.5,0.8873
expected_not_measured,beijing_air,0.5,2.0,1.4113
expected_not_measured,beijing_air,0.5,3.0,2.4099
expected_not_measured,beijing_air,0.5,4.0,3.3104
expected_not_measured,beijing_air,0.5,6.0,4.8577
expected_not_measured,beijing_air,1.0,0.25,1.062
expected_not_measured,beijing_air,1.0,0.5,0.3905
expected_not_measured,beijing_air,1.0,0.75,0.1546
expected_not_measured,beijing_air,1.0,1.0,0.1
expected_not_measured,beijing_air,1.0,1.5,0.2213
expected_not_measured,beijing_air,1.0,2.0,0.4674
expected_not_measured,beijing_air,1.0,3.0,1.062
expected_not_measured,beijing_air,1.0,4.0,1.6694
expected_not_measured,beijing_air,1.0,6.0,2.7969
expected_not_measured,beijing_air,2.0,0.25,2.6185
expected_not_measured,beijing_air,2.0,0.5,1.4113
expected_not_measured,beijing_air,2.0,0.75,0.8052
expected_not_measured,beijing_air,2.0,1.0,0.4674
expected_not_measured,beijing_air,2.0,1.5,0.1665
expected_not_measured,beijing_air,2.0,2.0,0.1
expected_not_measured,beijing_air,2.0,3.0,0.2404
expected_not_measured,beijing_air,2.0,4.0,0.5181
expected_not_measured,beijing_air,2.0,6.0,1.1735
expected_not_measured,beijing_air,4.0,0.25,5.0889
expected_not_measured,beijing_air,4.0,0.5,3.3104
expected_not_measured,beijing_air,4.0,0.75,2.3093
expected_not_measured,beijing_air,4.0,1.0,1.6694
expected_not_measured,beijing_air,4.0,1.5,0.918
expected_not_measured,beijing_air,4.0,2.0,0.5181
expected_not_measured,beijing_air,4.0,3.0,0.1739
expected_not_measured,beijing_air,4.0,4.0,0.1
expected_not_measured,beijing_air,4.0,6.0,0.2517
expected_not_measured,nab,0.5,0.25,0.4152
expected_not_measured,nab,0.5,0.5,0.22
expected_not_measured,nab,0.5,0.75,0.3133
expected_not_measured,nab,0.5,1.0,0.5105
expected_not_measured,nab,0.5,1.5,1.0073
expected_not_measured,nab,0.5,2.0,1.5313
expected_not_measured,nab,0.5,3.0,2.5299
expected_not_measured,nab,0.5,4.0,3.4304
expected_not_measured,nab,0.5,6.0,4.9777
expected_not_measured,nab,1.0,0.25,1.182
expected_not_measured,nab,1.0,0.5,0.5105
expected_not_measured,nab,1.0,0.75,0.2746
expected_not_measured,nab,1.0,1.0,0.22
expected_not_measured,nab,1.0,1.5,0.3413
expected_not_measured,nab,1.0,2.0,0.5874
expected_not_measured,nab,1.0,3.0,1.182
expected_not_measured,nab,1.0,4.0,1.7894
expected_not_measured,nab,1.0,6.0,2.9169
expected_not_measured,nab,2.0,0.25,2.7385
expected_not_measured,nab,2.0,0.5,1.5313
expected_not_measured,nab,2.0,0.75,0.9252
expected_not_measured,nab,2.0,1.0,0.5874
expected_not_measured,nab,2.0,1.5,0.2865
expected_not_measured,nab,2.0,2.0,0.22
expected_not_measured,nab,2.0,3.0,0.3604
expected_not_measured,nab,2.0,4.0,0.6381
expected_not_measured,nab,2.0,6.0,1.2935
expected_not_measured,nab,4.0,0.25,5.2089
expected_not_measured,nab,4.0,0.5,3.4304
expected_not_measured,nab,4.0,0.75,2.4293
expected_not_measured,nab,4.0,1.0,1.7894
expected_not_measured,nab,4.0,1.5,1.038
expected_not_measured,nab,4.0,2.0,0.6381
expected_not_measured,nab,4.0,3.0,0.2939
expected_not_measured,nab,4.0,4.0,0.22
expected_not_measured,nab,4.0,6.0,0.3717
